id,name,team,team_abbr,position
MaloJo00,Josh Malone,New York Jets,NYJ,WR
ManhCh00,Chris Manhertz,Carolina Panthers,CAR,TE
PerrBr02,Breshad Perriman,New York Jets,NYJ,WR
PoweBr00,Brandon Powell,Atlanta Falcons,ATL,WR
RobeSe00,Seth Roberts,Carolina Panthers,CAR,WR
StidJa00,Jarrett Stidham,New England Patriots,NWE,QB
TrauAd00,Adam Trautman,New Orleans Saints,NOR,TE
ArmaAl00,Alex Armah,Carolina Panthers,CAR,RB
BeebCh00,Chad Beebe,Minnesota Vikings,MIN,WR
BoonMi00,Mike Boone,Minnesota Vikings,MIN,RB
BurnDe00,Deontay Burnett,Philadelphia Eagles,PHI,WR
CarlSt00,Stephen Carlson,Cleveland Browns,CLE,
DallDe00,DeeJay Dallas,Seattle Seahawks,SEA,RB
DaltAn00,Andy Dalton,Dallas Cowboys,DAL,QB
EricAl01,Alex Erickson,Cincinnati Bengals,CIN,WR
FounDa00,Daurice Fountain,Indianapolis Colts,IND,WR
GreeVi00,Virgil Green,Los Angeles Chargers,LAC,TE
HamxC.00,C.J. Ham,Minnesota Vikings,MIN,RB
HastJa02,Jamycal Hasty,San Francisco 49ers,SFO,RB
HillDo00,Dontrell Hilliard,Cleveland Browns,CLE,RB
HillJo02,Josh Hill,New Orleans Saints,NOR,TE
HillKJ00,K.J. Hill,Los Angeles Chargers,LAC,WR
HoyeBr00,Brian Hoyer,New England Patriots,NWE,QB
JanoAn00,Andy Janovich,Cleveland Browns,CLE,RB
MickJa01,Jaydon Mickens,Tampa Bay Buccaneers,TAM,WR
MontTy01,Ty Montgomery,New Orleans Saints,NOR,RB
PrinBy00,Byron Pringle,Kansas City Chiefs,KAN,WR
RossJo00,John Ross,Cincinnati Bengals,CIN,WR
ShepDa00,Darrius Shepherd,Green Bay Packers,GNB,WR
SimsCa00,Cam Sims,Washington Football Team,WAS,WR
SmitAl03,Alex Smith,Washington Football Team,WAS,QB
TaylMa01,Malik Taylor,Green Bay Packers,GNB,WR
ThomMi05,Michael Thomas,New Orleans Saints,NOR,WR
YeldT.00,T.J. Yeldon,Buffalo Bills,BUF,RB
ZubeIs00,Isaiah Zuber,New England Patriots,NWE,WR
BlasKh00,Khari Blasingame,Tennessee Titans,TEN,RB
BowdLy00,Lynn Bowden Jr.,Miami Dolphins,MIA,RB
BrisJa00,Jacoby Brissett,Indianapolis Colts,IND,QB
BurtMi00,Michael Burton,New Orleans Saints,NOR,RB
ButtJa00,Jake Butt,Denver Broncos,DEN,TE
ClevTy00,Tyrie Cleveland,Denver Broncos,DEN,WR
CoopPh00,Pharoh Cooper,Carolina Panthers,CAR,WR
CoxxCh01,Chandler Cox,Miami Dolphins,MIA,RB
DeguJo00,Josiah Deguara,Green Bay Packers,GNB,TE
EvanDa02,Darrynton Evans,Tennessee Titans,TEN,RB
FowlBe00,Bennie Fowler,New Orleans Saints,NOR,WR
GillCu00,Cullen Gillaspia,Houston Texans,HOU,RB
GrahJa01,Jaeden Graham,Atlanta Falcons,ATL,TE
GrifRy00,Ryan Griffin,New York Jets,NYJ,TE
HemiTe00,Temarrick Hemingway,Washington Football Team,WAS,TE
HudsTa00,Tanner Hudson,Tampa Bay Buccaneers,TAM,TE
JarwBl00,Blake Jarwin,Dallas Cowboys,DAL,TE
KmetCo00,Cole Kmet,Chicago Bears,CHI,TE
LairPa00,Patrick Laird,Miami Dolphins,MIA,RB
McNiJe00,Jeremy McNichols,Tennessee Titans,TEN,RB
MeyeJa01,Jakobi Meyers,New England Patriots,NWE,WR
MundJo00,Johnny Mundt,Los Angeles Rams,LAR,TE
